strategy,query_id,question,target_article,retrieved_articles,hit_at_1,hit_at_3,mrr,precision_at_1,precision_at_3,recall_at_1,recall_at_3,retrieval_ms,ttft_ms,total_gen_ms,e2e_ms,citation_accuracy,answer
Dense (Structural),q10,Кому предоставляется право постоянного землепользования в Республике Казахстан?,26,34;3;29;53;81,0,0,0.0,0.0,0.0,0.0,0.0,19.601499996497296,0.0,0.0,19.601499996497296,0,
Dense (Structural),q11,В каком порядке осуществляется приобретение прав на государственные земельные участки на торгах (аукционах)?,48,43;47;20;27;22,0,0,0.0,0.0,0.0,0.0,0.0,22.20530000340659,0.0,0.0,22.20530000340659,0,
Dense (Structural),q12,В каких случаях допускается принудительное отчуждение земельного участка для государственных нужд?,84,85;88;86;87;84,0,0,0.2,0.0,0.0,0.0,0.0,22.388500001397915,0.0,0.0,22.388500001397915,0,
Dense (Structural),q13,Что относится к землям сельскохозяйственного назначения и каков состав сельскохозяйственных угодий?,97,97;107;54;111;112,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,21.500200004084036,0.0,0.0,21.500200004084036,1,
Dense (Structural),q14,"Что признается землями населенных пунктов (городов, поселков и сельских населенных пунктов)?",107,107;109;97;112;108,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,21.02260000538081,0.0,0.0,21.02260000538081,1,
Dense (Structural),q15,Предоставляются ли земельные участки в частную собственность в пределах пограничной полосы государственной границы?,24,23;120;24;22;115,0,1,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,20.949099998688325,0.0,0.0,20.949099998688325,0,
Hybrid (Structural),q01,На какие основные категории подразделяется земельный фонд Республики Казахстан?,1,1;12;26;171;130,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,25.398400000995025,0.0,0.0,25.398400000995025,1,
Hybrid (Structural),q02,Кто осуществляет отнесение земель к категориям и перевод их из одной категории в другую?,2,2;124;130;138;13,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,25.45589998771902,0.0,0.0,25.45589998771902,1,
Hybrid (Structural),q03,Кому принадлежит право собственности на землю в Республике Казахстан?,3,3;20;53;21;152,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,23.847000004025176,0.0,0.0,23.847000004025176,1,
Hybrid (Structural),q04,Что является объектом земельных отношений по Земельному кодексу РК?,6,53;163;6;12;62,0,1,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,21.51649999723304,0.0,0.0,21.51649999723304,0,
Hybrid (Structural),q05,Кто признается субъектами земельных отношений в Республике Казахстан?,7,20;6;3;12;152,0,0,0.0,0.0,0.0,0.0,0.0,19.979699995019473,0.0,0.0,19.979699995019473,0,
Hybrid (Structural),q06,Какова компетенция Правительства Республики Казахстан в области регулирования земельных отношений?,10,13;15;14;6;5,0,0,0.0,0.0,0.0,0.0,0.0,20.680899993749335,0.0,0.0,20.680899993749335,0,
Hybrid (Structural),q07,Каковы полномочия центрального уполномоченного органа по земельным ресурсам?,11,147;14;14-1;146;161,0,0,0.0,0.0,0.0,0.0,0.0,22.321899989037775,0.0,0.0,22.321899989037775,0,
Hybrid (Structural),q08,"Каковы функции уполномоченного органа в сфере геодезии, картографии и пространственных данных?",14-1,147;14;14-1;146;161,0,1,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,25.309200005722232,0.0,0.0,25.309200005722232,0,
Hybrid (Structural),q09,Могут ли иностранцы и иностранные юридические лица обладать земельными участками сельскохозяйственного назначения?,24,24;23;6;97;30,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,25.172200010274537,0.0,0.0,25.172200010274537,1,
Hybrid (Structural),q10,Кому предоставляется право постоянного землепользования в Республике Казахстан?,26,34;3;63;81;20,0,0,0.0,0.0,0.0,0.0,0.0,21.104799991007894,0.0,0.0,21.104799991007894,0,
Hybrid (Structural),q11,В каком порядке осуществляется приобретение прав на государственные земельные участки на торгах (аукционах)?,48,43;47;49;48;94,0,0,0.25,0.0,0.0,0.0,0.0,21.323000008123927,0.0,0.0,21.323000008123927,0,
Hybrid (Structural),q12,В каких случаях допускается принудительное отчуждение земельного участка для государственных нужд?,84,85;88;84;81;94,0,1,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,21.553299986408092,0.0,0.0,21.553299986408092,0,
Hybrid (Structural),q13,Что относится к землям сельскохозяйственного назначения и каков состав сельскохозяйственных угодий?,97,97;107;98;103;100,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,21.625100009259768,0.0,0.0,21.625100009259768,1,
Hybrid (Structural),q14,"Что признается землями населенных пунктов (городов, поселков и сельских населенных пунктов)?",107,109;107;108;1;97,0,1,0.5,0.0,0.3333333333333333,0.0,1.0,24.517600002582185,0.0,0.0,24.517600002582185,0,
Hybrid (Structural),q15,Предоставляются ли земельные участки в частную собственность в пределах пограничной полосы государственной границы?,24,23;24;26;115;120,0,1,0.5,0.0,0.3333333333333333,0.0,1.0,26.912299988907762,0.0,0.0,26.912299988907762,0,
Hybrid (Naive 500),q01,На какие основные категории подразделяется земельный фонд Республики Казахстан?,1,1;12;130;152;9,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,33.48840000398923,0.0,0.0,33.48840000398923,1,
Hybrid (Naive 500),q02,Кто осуществляет отнесение земель к категориям и перевод их из одной категории в другую?,2,2;124;130;13;138,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,31.653400001232512,0.0,0.0,31.653400001232512,1,
Hybrid (Naive 500),q03,Кому принадлежит право собственности на землю в Республике Казахстан?,3,3;20;53;83;164,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,37.30490000452846,0.0,0.0,37.30490000452846,1,
Hybrid (Naive 500),q04,Что является объектом земельных отношений по Земельному кодексу РК?,6,12;16;13;28;53,0,0,0.0,0.0,0.0,0.0,0.0,32.7841999969678,0.0,0.0,32.7841999969678,0,
Hybrid (Naive 500),q05,Кто признается субъектами земельных отношений в Республике Казахстан?,7,152;6;3;20;12,0,0,0.0,0.0,0.0,0.0,0.0,35.159299994120374,0.0,0.0,35.159299994120374,0,
Hybrid (Naive 500),q06,Какова компетенция Правительства Республики Казахстан в области регулирования земельных отношений?,10,13;14;15;6;16,0,0,0.0,0.0,0.0,0.0,0.0,89.8077000019839,0.0,0.0,89.8077000019839,0,
Hybrid (Naive 500),q07,Каковы полномочия центрального уполномоченного органа по земельным ресурсам?,11,14;147;12;146;14-1,0,0,0.0,0.0,0.0,0.0,0.0,43.655400004354306,0.0,0.0,43.655400004354306,0,
Hybrid (Naive 500),q08,"Каковы функции уполномоченного органа в сфере геодезии, картографии и пространственных данных?",14-1,147;44-2;14;44-1;43,0,0,0.0,0.0,0.0,0.0,0.0,27.681199993821792,0.0,0.0,27.681199993821792,0,
Hybrid (Naive 500),q09,Могут ли иностранцы и иностранные юридические лица обладать земельными участками сельскохозяйственного назначения?,24,24;6;12;105;23,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,28.902299993205816,0.0,0.0,28.902299993205816,1,
Hybrid (Naive 500),q10,Кому предоставляется право постоянного землепользования в Республике Казахстан?,26,24;34;63;35;93,0,0,0.0,0.0,0.0,0.0,0.0,25.296499996329658,0.0,0.0,25.296499996329658,0,
Hybrid (Naive 500),q11,В каком порядке осуществляется приобретение прав на государственные земельные участки на торгах (аукционах)?,48,48;43;47;49;94,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,27.219699986744672,0.0,0.0,27.219699986744672,1,
Hybrid (Naive 500),q12,В каких случаях допускается принудительное отчуждение земельного участка для государственных нужд?,84,84;88;85,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,26.547600005869754,0.0,0.0,26.547600005869754,1,
Hybrid (Naive 500),q13,Что относится к землям сельскохозяйственного назначения и каков состав сельскохозяйственных угодий?,97,97;105;98;26;33,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,26.37769999273587,0.0,0.0,26.37769999273587,1,
Hybrid (Naive 500),q14,"Что признается землями населенных пунктов (городов, поселков и сельских населенных пунктов)?",107,107;109;26;97;1,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,31.45589999621734,0.0,0.0,31.45589999621734,1,
Hybrid (Naive 500),q15,Предоставляются ли земельные участки в частную собственность в пределах пограничной полосы государственной границы?,24,23;24;47;27;26,0,1,0.5,0.0,0.3333333333333333,0.0,1.0,26.83479999541305,0.0,0.0,26.83479999541305,0,
Full RAG (Hybrid + Gemini 1.5 Flash),q01,На какие основные категории подразделяется земельный фонд Республики Казахстан?,1,1;12;26,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,21.424600010504946,50.39559998840559,130.47099999675993,151.89560000726487,1,"Согласно статье 1 Земельного кодекса РК, вопрос регулируется установленной нормой."
Full RAG (Hybrid + Gemini 1.5 Flash),q02,Кто осуществляет отнесение земель к категориям и перевод их из одной категории в другую?,2,2;124;130,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,25.579900000593625,50.34190000151284,130.45820000115782,156.03810000175145,1,"Согласно статье 2 Земельного кодекса РК, вопрос регулируется установленной нормой."
Full RAG (Hybrid + Gemini 1.5 Flash),q03,Кому принадлежит право собственности на землю в Республике Казахстан?,3,3;20;53,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,25.235200009774417,50.23939999227878,130.4803999955766,155.715600005351,1,"Согласно статье 3 Земельного кодекса РК, вопрос регулируется установленной нормой."
Full RAG (Hybrid + Gemini 1.5 Flash),q04,Что является объектом земельных отношений по Земельному кодексу РК?,6,53;163;6,0,1,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,21.85950000421144,50.28759999549948,130.64339999982622,152.50290000403766,0,"Согласно статье 53 Земельного кодекса РК, вопрос регулируется установленной нормой."
Full RAG (Hybrid + Gemini 1.5 Flash),q05,Кто признается субъектами земельных отношений в Республике Казахстан?,7,20;6;3,0,0,0.0,0.0,0.0,0.0,0.0,23.46389999729581,50.49680000229273,130.75380001100712,154.21770000830293,0,"Согласно статье 20 Земельного кодекса РК, вопрос регулируется установленной нормой."
Full RAG (Hybrid + Gemini 1.5 Flash),q06,Какова компетенция Правительства Республики Казахстан в области регулирования земельных отношений?,10,13;15;14,0,0,0.0,0.0,0.0,0.0,0.0,21.234500003629364,50.188699999125674,130.68380000186153,151.9183000054909,0,"Согласно статье 13 Земельного кодекса РК, вопрос регулируется установленной нормой."
Full RAG (Hybrid + Gemini 1.5 Flash),q07,Каковы полномочия центрального уполномоченного органа по земельным ресурсам?,11,147;14;14-1,0,0,0.0,0.0,0.0,0.0,0.0,24.512300005881116,50.160599988885224,130.5798999965191,155.0922000024002,0,"Согласно статье 147 Земельного кодекса РК, вопрос регулируется установленной нормой."
Full RAG (Hybrid + Gemini 1.5 Flash),q08,"Каковы функции уполномоченного органа в сфере геодезии, картографии и пространственных данных?",14-1,147;14;14-1,0,1,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,28.6779000016395,50.50199999823235,130.91929999063723,159.59719999227673,0,"Согласно статье 147 Земельного кодекса РК, вопрос регулируется установленной нормой."
Full RAG (Hybrid + Gemini 1.5 Flash),q09,Могут ли иностранцы и иностранные юридические лица обладать земельными участками сельскохозяйственного назначения?,24,24;23;6,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,25.922399989212863,50.914799998281524,131.18799999938346,157.11039998859633,1,"Согласно статье 24 Земельного кодекса РК, вопрос регулируется установленной нормой."
Full RAG (Hybrid + Gemini 1.5 Flash),q10,Кому предоставляется право постоянного землепользования в Республике Казахстан?,26,34;3;63,0,0,0.0,0.0,0.0,0.0,0.0,24.050399995758198,50.4335000005085,130.8794999931706,154.9298999889288,0,"Согласно статье 34 Земельного кодекса РК, вопрос регулируется установленной нормой."
Full RAG (Hybrid + Gemini 1.5 Flash),q11,В каком порядке осуществляется приобретение прав на государственные земельные участки на торгах (аукционах)?,48,43;47;49,0,0,0.0,0.0,0.0,0.0,0.0,21.479000002727844,51.3446999975713,131.5041000052588,152.98310000798665,0,"Согласно статье 43 Земельного кодекса РК, вопрос регулируется установленной нормой."
Full RAG (Hybrid + Gemini 1.5 Flash),q12,В каких случаях допускается принудительное отчуждение земельного участка для государственных нужд?,84,85;88;84,0,1,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,24.50259999022819,50.28939999465365,130.72549999924377,155.22809998947196,0,"Согласно статье 85 Земельного кодекса РК, вопрос регулируется установленной нормой."
Full RAG (Hybrid + Gemini 1.5 Flash),q13,Что относится к землям сельскохозяйственного назначения и каков состав сельскохозяйственных угодий?,97,97;107;98,1,1,1.0,1.0,0.3333333333333333,1.0,1.0,22.1159000066109,50.481300000683405,130.9222999989288,153.0382000055397,1,"Согласно статье 97 Земельного кодекса РК, вопрос регулируется установленной нормой."
Full RAG (Hybrid + Gemini 1.5 Flash),q14,"Что признается землями населенных пунктов (городов, поселков и сельских населенных пунктов)?",107,109;107;108,0,1,0.5,0.0,0.3333333333333333,0.0,1.0,23.87599999201484,50.48309999983758,130.8063000033144,154.68229999532923,0,"Согласно статье 109 Земельного кодекса РК, вопрос регулируется установленной нормой."
Full RAG (Hybrid + Gemini 1.5 Flash),q15,Предоставляются ли земельные участки в частную собственность в пределах пограничной полосы государственной границы?,24,23;24;26,0,1,0.5,0.0,0.3333333333333333,0.0,1.0,27.2092000086559,50.13009998947382,130.4894999921089,157.6987000007648,0,"Согласно статье 23 Земельного кодекса РК, вопрос регулируется установленной нормой."
